% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	avrgSinrPerRb
2240	0	2	1	0	8	29	0	1	1	2.13373e+07
2240	0	3	1	0	8	29	0	1	1	6.23653e+06
2240	0	4	1	0	8	29	0	1	1	1.70506e+07
2240	0	5	1	0	8	29	0	1	1	4.15374e+06
2240	0	6	1	0	8	29	0	1	1	6.28558e+06
2240	0	7	1	0	8	29	0	1	1	5.46974e+08
2240	0	8	1	0	8	29	0	1	1	3.76424e+06
2240	0	9	1	0	8	29	0	1	1	1.45812e+07
2240	0	10	1	0	8	29	0	1	1	9.98661e+06
2244	0	1	2	0	8	29	0	1	1	2.13373e+07
2244	0	1	9	0	8	29	0	1	0	8.81766
2244	0	1	5	0	8	29	0	1	0	0.715561
2244	0	3	2	0	8	29	0	1	1	2.04847e+07
2244	0	3	9	0	8	29	0	1	0	3.05843
2244	0	3	5	0	8	29	0	1	0	2.06301
2244	0	4	2	0	8	29	0	1	1	4.75478e+06
2244	0	4	9	0	8	29	0	1	0	9.81376
2244	0	4	5	0	8	29	0	1	0	0.64293
2244	0	6	2	0	8	29	0	1	1	8.27134e+06
2244	0	6	5	0	8	29	0	1	0	14.6823
2244	0	6	9	0	8	29	0	1	0	0.429739
2244	0	7	2	0	8	29	0	1	1	1.52535e+07
2244	0	7	9	0	8	29	0	1	0	11.4351
2244	0	7	5	0	8	29	0	1	0	0.551772
2244	0	8	2	0	8	29	0	1	1	3.68704e+06
2244	0	8	5	0	8	29	0	1	0	7.92477
2244	0	8	9	0	8	29	0	1	0	0.796182
2244	0	10	2	0	8	29	0	1	1	5.98342e+06
2244	0	10	9	0	8	29	0	1	0	198.959
2244	0	10	5	0	8	29	0	1	0	0.0317129
2248	0	1	4	0	8	29	0	1	1	1.70506e+07
2248	0	2	4	0	8	29	0	1	1	4.75478e+06
2248	0	3	4	0	8	29	0	1	1	2.54113e+06
2248	0	5	4	0	8	29	0	1	1	1.95183e+06
2248	0	6	4	0	8	29	0	1	1	3.1415e+06
2248	0	7	4	0	8	29	0	1	1	2.41875e+07
2248	0	8	4	0	8	29	0	1	1	2.64221e+06
2248	0	9	4	0	8	29	0	1	1	7.62567e+06
2248	0	10	4	0	8	29	0	1	1	7.61355e+06
2252	0	1	10	0	8	29	0	1	1	9.98661e+06
2252	0	2	10	0	8	29	0	1	1	5.98342e+06
2252	0	3	10	0	8	29	0	1	1	5.19314e+06
2252	0	4	10	0	8	29	0	1	1	7.61355e+06
2252	0	5	10	0	8	29	0	1	1	1.89993e+06
2252	0	6	10	0	8	29	0	1	1	2.02101e+06
2252	0	7	10	0	8	29	0	1	1	1.14549e+07
2252	0	8	10	0	8	29	0	1	1	1.44562e+06
2252	0	9	10	0	8	29	0	1	1	1.50488e+08
2256	0	1	7	0	8	29	0	1	0	364.997
2256	0	1	6	0	8	29	0	1	0	2.53164
2256	0	1	3	0	8	29	0	1	0	2.49228
2256	0	1	8	0	8	29	0	1	0	0.0172866
2256	0	2	7	0	8	29	0	1	0	10.3918
2256	0	2	3	0	8	29	0	1	0	6.22092
2256	0	2	6	0	8	29	0	1	0	1.01425
2256	0	2	8	0	8	29	0	1	0	0.607167
2256	0	4	7	0	8	29	0	1	0	22.9945
2256	0	4	6	0	8	29	0	1	0	3.10534
2256	0	4	3	0	8	29	0	1	0	2.03184
2256	0	4	8	0	8	29	0	1	0	0.274395
2256	0	5	6	0	8	29	0	1	0	5.84722
2256	0	5	8	0	8	29	0	1	0	3.78311
2256	0	5	7	0	8	29	0	1	0	1.66783
2256	0	5	3	0	8	29	0	1	0	1.07907
2256	0	9	7	0	8	29	0	1	0	23.954
2256	0	9	3	0	8	29	0	1	0	7.67968
2256	0	9	6	0	8	29	0	1	0	0.821593
2256	0	9	8	0	8	29	0	1	0	0.263403
2256	0	10	7	0	8	29	0	1	0	19.9039
2256	0	10	3	0	8	29	0	1	0	6.45447
2256	0	10	6	0	8	29	0	1	0	0.977549
2256	0	10	8	0	8	29	0	1	0	0.317001
2560	0	1	2	0	8	29	0	1	1	2.13373e+07
2560	0	1	8	0	8	29	0	1	1	3.76424e+06
2560	0	1	7	0	8	29	0	1	0	220.305
2560	0	1	3	0	8	29	0	1	0	0.0286402
2560	0	4	2	0	8	29	0	1	1	4.75478e+06
2560	0	4	8	0	8	29	0	1	1	2.64221e+06
2560	0	4	7	0	8	29	0	1	0	23.9091
2560	0	4	3	0	8	29	0	1	0	0.263898
2560	0	5	2	0	8	29	0	1	1	9.95737e+06
2560	0	5	8	0	8	29	0	1	1	5.29492e+06
2560	0	5	3	0	8	29	0	1	0	4.45604
2560	0	5	7	0	8	29	0	1	0	1.41596
2560	0	6	8	0	8	29	0	1	1	2.80759e+07
2560	0	6	2	0	8	29	0	1	1	8.27134e+06
2560	0	6	7	0	8	29	0	1	0	3.84824
2560	0	6	3	0	8	29	0	1	0	1.6396
2560	0	9	2	0	8	29	0	1	1	9.23615e+06
2560	0	9	8	0	8	29	0	1	1	1.67831e+06
2560	0	9	7	0	8	29	0	1	0	5.29411
2560	0	9	3	0	8	29	0	1	0	1.19181
2560	0	10	2	0	8	29	0	1	1	5.98342e+06
