id	x	y
1	2.92668	-0.452332
2	39.6675	22.2961
3	82.1236	10.3554
4	-37.3241	-27.2242
5	51.9161	84.3567
6	-0.207902	79.1044
7	-1.83021	-7.5388
8	-34.1082	95.5348
9	33.2035	-43.0662
10	27.9278	-58.459
11	90.1964	-22.1674
12	22.1455	-93.566
13	11.5769	-54.1138
14	-62.5501	-44.2638
15	77.9492	-83.5678
16	21.3344	60.9935
17	-77.9333	90.6378
18	98.4308	-32.5905
19	-69.0057	36.9474
20	-44.2737	45.9676
21	83.187	78.9069
22	12.8404	13.3161
23	36.1977	-60.3806
24	88.2138	61.7472
25	-88.847	65.8879
26	-29.1324	-43.7951
27	45.8094	18.8948
28	46.8917	-20.6132
29	-88.1872	82.2416
30	-87.9399	-82.4469
31	-93.162	-58.1805
32	-98.9019	96.6515
33	-99.1285	58.3208
34	96.2005	79.0162
35	-62.9503	3.22879
36	5.35185	-37.8074
37	-81.0293	12.7275
38	82.5916	92.0091
39	50.7652	70.8576
40	19.1992	79.5792
41	-98.3036	-84.1302
42	-70.8179	90.8199
43	-99.2644	67.4479
44	-35.5044	88.8483
45	-50.5152	-82.9109
46	93.6228	59.5647
47	52.3365	77.5777
48	14.3355	-39.0561
49	-20.9016	93.9273
50	-43.9862	-54.1666
51	-22.0162	63.9742
52	45.82	-5.77617
53	77.4425	-53.5932
54	-55.2965	28.8324
55	-44.7068	92.4514
56	48.0238	-87.868
57	47.7904	63.0616
58	57.2266	98.7399
59	-8.32907	87.0402
60	-51.346	8.69257
61	-55.7891	-55.7866
62	-10.8666	-30.4
63	-12.137	1.34658
64	-26.9424	-52.6342
65	-42.7628	34.9838
66	49.7583	-14.931
67	57.6419	93.1888
68	12.6269	54.5858
69	13.8832	-68.6535
70	-85.7669	53.7547
71	12.9206	95.7479
72	29.9315	20.7393
73	24.446	48.1705
74	-62.1946	-62.5822
75	-26.4125	-67.6371
76	-33.5255	-96.8206
77	29.7088	71.5783
78	16.2089	-78.5228
79	-73.76	-65.5044
80	50.3973	72.7702
81	-16.0621	99.8919
82	-39.4654	-85.4631
83	-50.7939	93.9583
84	49.4044	89.3092
85	-33.7393	-30.9356
86	-58.3321	29.1996
87	89.3076	8.88834
88	-78.2097	58.5285
89	52.6858	-11.5915
90	66.3404	-66.2854
91	-24.095	48.276
92	-27.2528	-96.1311
93	-91.3914	90.5006
94	82.9733	-35.3264
95	-31.4511	-14.0167
96	22.9956	-55.6299
97	82.029	-91.9479
98	13.6784	33.811
99	62.8867	68.6982
100	-97.7544	10.5858
