time(sec)	tx/rx	C/S	NodeID	IP[src]	IP[dst]	PktSize(bytes)
5.036	rx	C	6	6001:db80::200:ff:fe00:7:50001	:::49153	150	
5.535	rx	C	6	6001:db80::200:ff:fe00:7:50001	:::49153	150	
6.035	rx	C	6	6001:db80::200:ff:fe00:7:50001	:::49153	150	
6.535	rx	C	6	6001:db80::200:ff:fe00:7:50001	:::49153	150	
7.035	rx	C	6	6001:db80::200:ff:fe00:7:50001	:::49153	150	
7.535	rx	C	6	6001:db80::200:ff:fe00:7:50001	:::49153	150	
8.035	rx	C	6	6001:db80::200:ff:fe00:7:50001	:::49153	150	
8.535	rx	C	6	6001:db80::200:ff:fe00:7:50001	:::49153	150	
9.035	rx	C	6	6001:db80::200:ff:fe00:7:50001	:::49153	150	
9.535	rx	C	6	6001:db80::200:ff:fe00:7:50001	:::49153	150	
12.1529	rx	C	6	6001:db80::200:ff:fe00:7:50001	:::49153	150	
12.6349	rx	C	6	6001:db80::200:ff:fe00:7:50001	:::49153	150	
13.1559	rx	C	6	6001:db80::200:ff:fe00:7:50001	:::49153	150	
13.6349	rx	C	6	6001:db80::200:ff:fe00:7:50001	:::49153	150	
14.1529	rx	C	6	6001:db80::200:ff:fe00:7:50001	:::49153	150	
14.6339	rx	C	6	6001:db80::200:ff:fe00:7:50001	:::49153	150	
