time(s)	imsi	cellId	rsrp	threshold
0.2	2	0	-119.597	-120	
0.4	2	1	-119.6	-120	
0.6	2	1	-119.606	-120	
0.8	2	1	-119.612	-120	
1	2	1	-119.619	-120	
1.2	2	1	-119.626	-120	
1.4	2	1	-119.633	-120	
1.6	2	1	-119.64	-120	
1.8	2	1	-119.648	-120	
2	2	1	-119.655	-120	
2.2	2	1	-119.662	-120	
2.4	2	1	-119.67	-120	
2.6	2	1	-119.677	-120	
2.8	2	1	-119.684	-120	
3	2	1	-119.691	-120	
3.2	2	1	-119.699	-120	
3.4	2	1	-119.706	-120	
3.6	2	1	-119.713	-120	
3.8	2	1	-119.72	-120	
4	2	1	-119.728	-120	
4.2	2	1	-119.735	-120	
4.4	2	1	-119.742	-120	
4.6	2	1	-119.749	-120	
4.8	2	1	-119.757	-120	
5	2	1	-119.764	-120	
5.2	2	1	-119.771	-120	
5.4	2	1	-119.778	-120	
5.6	2	1	-119.785	-120	
5.8	2	1	-119.793	-120	
6	2	1	-119.8	-120	
6.2	2	1	-119.807	-120	
6.4	2	1	-119.814	-120	
6.6	2	1	-119.822	-120	
6.8	2	1	-119.829	-120	
7	2	1	-119.836	-120	
7.2	2	1	-119.843	-120	
7.4	2	1	-119.85	-120	
7.6	2	1	-119.858	-120	
7.8	2	1	-119.865	-120	
8	2	1	-119.872	-120	
8.2	2	1	-119.879	-120	
8.4	2	1	-119.886	-120	
8.6	2	1	-119.893	-120	
8.8	2	1	-119.901	-120	
9	2	1	-119.908	-120	
9.2	2	1	-119.915	-120	
9.4	2	1	-119.922	-120	
9.6	2	1	-119.929	-120	
9.8	2	1	-119.936	-120	
10	2	1	-119.944	-120	
10.2	2	1	-123.363	-120	
10.4	2	1	-125.164	-120	
10.6	2	1	-126.068	-120	
10.8	2	1	-126.524	-120	
11	2	1	-126.755	-120	
11.2	2	1	-126.874	-120	
11.4	2	1	-126.938	-120	
11.6	2	1	-126.973	-120	
11.8	2	1	-126.994	-120	
12	2	1	-127.008	-120	
12.2	2	1	-127.019	-120	
12.4	2	1	-127.027	-120	
12.6	2	1	-127.035	-120	
12.8	2	1	-127.043	-120	
13	2	1	-127.05	-120	
13.2	2	1	-127.058	-120	
13.4	2	1	-127.065	-120	
13.6	2	1	-127.072	-120	
13.8	2	1	-127.079	-120	
14	2	1	-127.086	-120	
14.2	2	1	-127.093	-120	
14.4	2	1	-127.1	-120	
14.6	2	1	-127.107	-120	
14.8	2	1	-127.114	-120	
